date,count,username,secretion_type
2023-03-03,1,HelloImNavy,"0"
2023-03-03,1,Jotajotahs,"0"
2023-03-03,1,Thybak,"0"
2023-03-03,2,Zeonx91,"0"
2023-03-03,1,esloooz,"0"
2023-03-03,2,quimikuaxh,"0"
2023-03-04,1,AntiaMsv,"0"
2023-03-04,1,HelloImNavy,"0"
2023-03-04,1,Jotajotahs,"0"
2023-03-04,2,Thybak,"0"
2023-03-04,1,Zeonx91,"0"
2023-03-04,2,quimikuaxh,"0"
2023-03-05,1,HelloImNavy,"0"
2023-03-05,2,Jotajotahs,"0"
2023-03-05,1,Thybak,"0"
2023-03-05,1,Zeonx91,"0"
2023-03-05,2,esloooz,"0"
2023-03-05,1,quimikuaxh,"0"
2023-03-06,1,AntiaMsv,"0"
2023-03-06,1,HelloImNavy,"0"
2023-03-06,1,Jotajotahs,"0"
2023-03-06,2,Thybak,"0"
2023-03-06,2,Zeonx91,"0"
2023-03-06,2,esloooz,"0"
2023-03-06,1,quimikuaxh,"0"
2023-03-07,1,Jotajotahs,"0"
2023-03-07,2,Thybak,"0"
2023-03-07,1,Zeonx91,"0"
2023-03-07,1,esloooz,"0"
2023-03-07,2,quimikuaxh,"0"
2023-03-08,2,AntiaMsv,"0"
2023-03-08,1,HelloImNavy,"0"
2023-03-08,2,Jotajotahs,"0"
2023-03-08,2,Zeonx91,"0"
2023-03-08,1,esloooz,"0"
2023-03-08,2,quimikuaxh,"0"
2023-03-09,1,AntiaMsv,"0"
2023-03-09,1,HelloImNavy,"0"
2023-03-09,3,Jotajotahs,"0"
2023-03-09,1,Thybak,"0"
2023-03-09,1,Zeonx91,"0"
2023-03-09,2,esloooz,"0"
2023-03-09,3,quimikuaxh,"0"
2023-03-10,1,AntiaMsv,"0"
2023-03-10,1,Jotajotahs,"0"
2023-03-10,2,Thybak,"0"
2023-03-10,2,Zeonx91,"0"
2023-03-10,2,esloooz,"0"
2023-03-10,2,quimikuaxh,"0"
2023-03-11,1,HelloImNavy,"0"
2023-03-11,1,Jotajotahs,"0"
2023-03-11,1,Zeonx91,"0"
2023-03-11,1,quimikuaxh,"0"
2023-03-12,1,AntiaMsv,"0"
2023-03-12,3,Jotajotahs,"0"
2023-03-12,1,Thybak,"0"
2023-03-12,1,Zeonx91,"0"
2023-03-12,2,esloooz,"0"
2023-03-12,2,quimikuaxh,"0"
2023-03-13,1,AntiaMsv,"0"
2023-03-13,1,HelloImNavy,"0"
2023-03-13,1,Jotajotahs,"0"
2023-03-13,1,Thybak,"0"
2023-03-13,2,Zeonx91,"0"
2023-03-13,1,esloooz,"0"
2023-03-13,2,quimikuaxh,"0"
2023-03-14,1,HelloImNavy,"0"
2023-03-14,2,Jotajotahs,"0"
2023-03-14,3,Thybak,"0"
2023-03-14,1,Zeonx91,"0"
2023-03-14,1,esloooz,"0"
2023-03-14,2,quimikuaxh,"0"
2023-03-15,1,AntiaMsv,"0"
2023-03-15,1,HelloImNavy,"0"
2023-03-15,1,Jotajotahs,"0"
2023-03-15,1,Zeonx91,"0"
2023-03-15,1,esloooz,"0"
2023-03-15,1,quimikuaxh,"0"
2023-03-16,1,AntiaMsv,"0"
2023-03-16,1,HelloImNavy,"0"
2023-03-16,2,Jotajotahs,"0"
2023-03-16,1,Zeonx91,"0"
2023-03-16,2,esloooz,"0"
2023-03-16,2,quimikuaxh,"0"
2023-03-17,2,AntiaMsv,"0"
2023-03-17,1,HelloImNavy,"0"
2023-03-17,1,Jotajotahs,"0"
2023-03-17,2,Thybak,"0"
2023-03-17,1,Zeonx91,"0"
2023-03-17,2,esloooz,"0"
2023-03-17,1,quimikuaxh,"0"
2023-03-18,1,Jotajotahs,"0"
2023-03-18,1,Thybak,"0"
2023-03-18,2,Zeonx91,"0"
2023-03-18,2,esloooz,"0"
2023-03-18,1,quimikuaxh,"0"
2023-03-19,1,HelloImNavy,"0"
2023-03-19,2,Jotajotahs,"0"
2023-03-19,1,Thybak,"0"
2023-03-19,1,Zeonx91,"0"
2023-03-19,1,esloooz,"0"
2023-03-19,1,quimikuaxh,"0"
2023-03-20,2,AntiaMsv,"0"
2023-03-20,2,HelloImNavy,"0"
2023-03-20,1,Jotajotahs,"0"
2023-03-20,2,Thybak,"0"
2023-03-20,2,Zeonx91,"0"
2023-03-20,1,esloooz,"0"
2023-03-20,3,quimikuaxh,"0"
2023-03-21,2,HelloImNavy,"0"
2023-03-21,1,Jotajotahs,"0"
2023-03-21,1,Thybak,"0"
2023-03-21,2,esloooz,"0"
2023-03-21,1,quimikuaxh,"0"
2023-03-22,3,AntiaMsv,"0"
2023-03-22,1,HelloImNavy,"0"
2023-03-22,1,Jotajotahs,"0"
2023-03-22,2,Thybak,"0"
2023-03-22,1,Zeonx91,"0"
2023-03-22,1,esloooz,"0"
2023-03-22,1,quimikuaxh,"0"
2023-03-23,2,AntiaMsv,"0"
2023-03-23,1,Jotajotahs,"0"
2023-03-23,2,Thybak,"0"
2023-03-23,1,Zeonx91,"0"
2023-03-23,1,esloooz,"0"
2023-03-23,3,quimikuaxh,"0"
2023-03-24,2,AntiaMsv,"0"
